,epsilon_progress,nfe
0,0,0
1,61,100
2,301,2600
3,410,5100
4,494,7600
5,564,10408
6,679,13128
7,741,15848
8,792,18568
9,833,21288
10,864,24008
11,894,26728
12,923,29448
13,946,32168
14,977,34888
15,1008,37608
16,1032,40328
17,1061,43048
18,1083,45768
19,1105,48488
20,1113,50120
