,epsilon_progress,nfe
0,0,0
1,61,100
2,340,2600
3,465,5100
4,530,7600
5,600,10534
6,726,13382
7,790,16230
8,836,19078
9,875,21926
10,902,24774
11,937,27622
12,971,30470
13,1000,33318
14,1030,36166
15,1050,39014
16,1077,41862
17,1089,44710
18,1108,47558
19,1134,50406
