,epsilon_progress,nfe
0,0,0
1,58,100
2,277,2600
3,383,5100
4,473,7600
5,571,10483
6,681,13059
7,726,15635
8,772,18211
9,803,20787
10,830,23363
11,852,25939
12,864,28515
13,887,31091
14,908,33667
15,931,36243
16,952,38819
17,977,41395
18,989,43971
19,999,46547
20,1013,49123
21,1019,50411
