,epsilon_progress,nfe
0,0,0
1,22,100
2,246,2600
3,334,5100
4,380,7600
5,418,10357
6,565,13213
7,632,16069
8,665,18925
9,690,21781
10,713,24637
11,727,27493
12,748,30349
13,759,33205
14,771,36061
15,786,38917
16,796,41773
17,812,44629
18,828,47485
19,841,50341
