,generational_distance,hypervolume,nfe
0,inf,0.0,0
1,1.2999171907203018,0.0038936122546718768,100
8,0.21389058181773843,0.07818795525280679,2600
18,0.19497471171120015,0.1667635295114771,5100
19,0.18720324730862667,0.20004496185402165,7600
2,0.16295911769107976,0.2140259075984623,10354
3,0.14531191639057484,0.23310553398402142,13186
4,0.13457285598046836,0.24101516089516112,16018
5,0.13037355277393414,0.2511935000102753,18850
6,0.13034612484923352,0.2616354515310241,21682
7,0.12626751848751866,0.26239147098670057,24514
9,0.12625342285108127,0.26563845138566294,27346
10,0.11882237837698839,0.2684940394357945,30178
11,0.11862072515569655,0.2707120434284273,33010
12,0.11664735345364298,0.2699071673272853,35842
13,0.11122236003651562,0.27552828854228656,38674
14,0.10775124812488181,0.2770095159768634,41506
15,0.10470110949402002,0.2814752168484257,44338
16,0.09928312541717757,0.2885638095517432,47170
17,0.09566436819960618,0.2892017410331111,50002
