,epsilon_progress,nfe
0,0,0
1,34,100
2,262,2600
3,373,5100
4,436,7600
5,485,10339
6,633,13051
7,695,15763
8,740,18475
9,767,21187
10,793,23899
11,818,26611
12,831,29323
13,850,32035
14,862,34747
15,879,37459
16,889,40171
17,897,42883
18,907,45595
19,914,48307
20,917,50115
