,epsilon_progress,nfe
0,0,0
1,22,100
2,230,2600
3,316,5100
4,367,7600
5,403,10354
6,539,13186
7,598,16018
8,637,18850
9,669,21682
10,690,24514
11,710,27346
12,730,30178
13,745,33010
14,766,35842
15,784,38674
16,798,41506
17,808,44338
18,828,47170
19,841,50002
