,epsilon_progress,nfe
0,0,0
1,36,100
2,230,2600
3,319,5100
4,395,7600
5,469,10414
6,605,13174
7,665,15934
8,715,18694
9,754,21454
10,780,24214
11,813,26974
12,838,29734
13,862,32494
14,876,35254
15,889,38014
16,908,40774
17,918,43534
18,936,46294
19,946,49054
20,952,50158
