,epsilon_progress,nfe
0,0,0
1,32,100
2,246,2600
3,317,5100
4,370,7600
5,422,10351
6,541,13159
7,597,15967
8,639,18775
9,675,21583
10,697,24391
11,720,27199
12,746,30007
13,762,32815
14,773,35623
15,788,38431
16,795,41239
17,803,44047
18,809,46855
19,819,49663
20,820,50131
