,generational_distance,hypervolume,nfe
0,inf,0.0,0
1,1.2254967728680688,4.646307502792818e-05,100
8,0.4017010920994747,0.06880640501191174,2600
19,0.21554407678842993,0.1367761537487646,5100
20,0.1914166181264045,0.17837093853447758,7600
2,0.18112169606118683,0.1920956450454647,10339
3,0.14987622651654695,0.2237455279465363,13051
4,0.14356432319133677,0.23717312197632506,15763
5,0.13268278328794483,0.2412399279126836,18475
6,0.13125284305960985,0.24301228654849422,21187
7,0.13461427822283636,0.24474374617067382,23899
9,0.12970664419739725,0.2519851670708673,26611
10,0.1311968327387841,0.25515316581629127,29323
11,0.12602012130481904,0.2571449428204965,32035
12,0.12408944414752972,0.25540426903377966,34747
13,0.1210480380661114,0.2619617920683666,37459
14,0.11652627380375993,0.2931280508075589,40171
15,0.11442283775868467,0.29333589349450157,42883
16,0.11548241172945739,0.29359549991136397,45595
17,0.11546296934414357,0.297678870254898,48307
18,0.11625965785378267,0.2971344342875914,50115
