,epsilon_progress,nfe
0,0,0
1,38,100
2,220,2600
3,296,5100
4,344,7600
5,409,10426
6,581,13266
7,654,16106
8,697,18946
9,724,21786
10,749,24626
11,775,27466
12,789,30306
13,805,33146
14,814,35986
15,822,38826
16,835,41666
17,846,44506
18,853,47346
19,867,50186
