,generational_distance,hypervolume,nfe
0,inf,0.0,0
1,0.9213465179054362,0.00420228623166256,100
8,0.2529779358342386,0.0917754953074063,2600
18,0.20807901967018058,0.13336305749774652,5100
19,0.1994014513477629,0.1627926586883236,7600
2,0.18967672718824014,0.20300495828996798,10426
3,0.1548141243805518,0.2354703278134304,13266
4,0.13589505170037774,0.24732154799465128,16106
5,0.1294385169737826,0.252105681969067,18946
6,0.12473798034160215,0.2561650196099587,21786
7,0.11869543671498653,0.26143553154860383,24626
9,0.11484234229404845,0.26931001495707174,27466
10,0.11343402654122087,0.26650129136944234,30306
11,0.10781278949847461,0.28000037443038,33146
12,0.10764558316685431,0.28160033492529846,35986
13,0.10879828167176557,0.2817917899583273,38826
14,0.10576483930863638,0.28618362389682145,41666
15,0.10387356877158403,0.2857597518451422,44506
16,0.10353996581784822,0.28587679254083015,47346
17,0.09972262079908256,0.28702659763992633,50186
