,generational_distance,hypervolume,nfe
0,inf,0.0,0
1,2.1572502892411105,0.006831965198863349,100
8,0.23596082236639884,0.11730334689616191,2600
19,0.2147739612346864,0.1462226214384068,5100
20,0.2179825897669907,0.16414584121496528,7600
2,0.16711340411343983,0.17767151527122646,10351
3,0.13727614067791566,0.19697567992783316,13159
4,0.13147280249317425,0.21845328358564917,15967
5,0.12373883994431764,0.2481151244927578,18775
6,0.11727309796791525,0.2602533360050438,21583
7,0.11533638201849093,0.2614980270070878,24391
9,0.11307676691061813,0.27013099770486765,27199
10,0.10367178028190903,0.2731814401389185,30007
11,0.10462860319612002,0.2749777570573282,32815
12,0.10741780121333865,0.27800926670781145,35623
13,0.10509659584795865,0.28521644575733773,38431
14,0.10475043474382555,0.2853676435416835,41239
15,0.10378643838356585,0.28605449856034004,44047
16,0.10351900956703229,0.2862488135479719,46855
17,0.10400292096040277,0.28679148924797615,49663
18,0.10440640435439982,0.28679148924797615,50131
