,epsilon_progress,nfe
0,0,0
1,31,100
2,265,2600
3,354,5100
4,405,7600
5,456,10360
6,597,13240
7,651,16120
8,686,19000
9,718,21880
10,735,24760
11,752,27640
12,773,30520
13,787,33400
14,802,36280
15,815,39160
16,828,42040
17,837,44920
18,846,47800
19,856,50200
