,epsilon_progress,nfe
0,0,0
1,23,100
2,230,2600
3,320,5100
4,364,7600
5,407,10351
6,512,13159
7,561,15967
8,593,18775
9,610,21583
10,629,24391
11,656,27199
12,672,30007
13,699,32815
14,718,35623
15,731,38431
16,744,41239
17,758,44047
18,766,46855
19,775,49663
20,775,50131
