,epsilon_progress,nfe
0,0,0
1,29,100
2,216,2600
3,300,5100
4,359,7600
5,389,10360
6,509,13240
7,561,16120
8,597,19000
9,628,21880
10,652,24760
11,684,27640
12,697,30520
13,717,33400
14,736,36280
15,759,39160
16,772,42040
17,782,44920
18,800,47800
19,809,50200
