,epsilon_progress,nfe
0,0,0
1,27,100
2,222,2600
3,293,5100
4,344,7600
5,378,10336
6,483,13024
7,527,15712
8,569,18400
9,587,21088
10,602,23776
11,621,26464
12,636,29152
13,661,31840
14,680,34528
15,696,37216
16,706,39904
17,717,42592
18,724,45280
19,738,47968
20,739,50208
