,epsilon_progress,nfe
0,0,0
1,25,100
2,240,2600
3,347,5100
4,422,7600
5,485,10381
6,626,12921
7,717,15461
8,783,18001
9,821,20541
10,849,23081
11,883,25621
12,910,28161
13,931,30701
14,955,33241
15,968,35781
16,975,38321
17,994,40861
18,1008,43401
19,1021,45941
20,1029,48481
21,1035,50005
