,epsilon_progress,nfe
0,0,0
1,21,100
2,226,2600
3,326,5100
4,388,7600
5,427,10477
6,586,13021
7,667,15565
8,705,18109
9,734,20653
10,755,23197
11,785,25741
12,800,28285
13,815,30829
14,833,33373
15,844,35917
16,860,38461
17,876,41005
18,884,43549
19,895,46093
20,903,48637
21,918,50545
