,epsilon_progress,nfe
0,0,0
1,26,100
2,259,2600
3,348,5100
4,429,7600
5,491,10411
6,646,13151
7,708,15891
8,770,18631
9,798,21371
10,830,24111
11,847,26851
12,855,29591
13,870,32331
14,894,35071
15,913,37811
16,932,40551
17,949,43291
18,963,46031
19,987,48771
20,997,50415
