,epsilon_progress,nfe
0,0,0
1,17,100
2,235,2600
3,311,5100
4,376,7600
5,438,10429
6,599,13289
7,673,16149
8,718,19009
9,748,21869
10,771,24729
11,797,27589
12,816,30449
13,830,33309
14,846,36169
15,858,39029
16,874,41889
17,885,44749
18,898,47609
19,916,50469
