,epsilon_progress,nfe
0,0,0
1,33,100
2,209,2600
3,312,5100
4,353,7600
5,393,10411
6,541,13151
7,598,15891
8,632,18631
9,650,21371
10,675,24111
11,705,26851
12,726,29591
13,744,32331
14,755,35071
15,765,37811
16,778,40551
17,795,43291
18,808,46031
19,819,48771
20,821,50415
