,epsilon_progress,nfe
0,0,0
1,29,100
2,235,2600
3,343,5100
4,419,7600
5,455,10471
6,598,12983
7,663,15495
8,707,18007
9,736,20519
10,764,23031
11,792,25543
12,820,28055
13,845,30567
14,860,33079
15,878,35591
16,902,38103
17,916,40615
18,929,43127
19,941,45639
20,958,48151
21,965,50035
